PassengerId,HomePlanet,CryoSleep,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupID,GroupSize,CabinDeck,CabinNum,CabinSide,Cabin_missing,NoAmenities,LikelyBudgetPassenger,Surname,CryoSleep_missing,RoomService_missing,FoodCourt_missing,ShoppingMall_missing,Spa_missing,VRDeck_missing,TotalSpend,MissingSpendCount,LuxurySpend,EssentialSpend,RoomService_log,FoodCourt_log,ShoppingMall_log,Spa_log,VRDeck_log,TotalSpend_log,LuxurySpend_log,EssentialSpend_log,CryoSleep_ZeroSpend,FamilySize,VIP_confidence,VIP_cleaned,Destination_confidence,Destination_cleaned,Age_confidence
0001_01,Europa,False,B/0/P,39.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,0001,1,B,0.0,P,0,1,False,Ofracculy,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,known,False,known,TRAPPIST-1e,known
0002_01,Earth,False,F/0/S,24.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,0002,1,F,0.0,S,0,0,False,Vines,0,0,0,0,0,0,736.0,0,602.0,134.0,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,6.602587892189336,6.401917196727186,4.90527477843843,0,4.0,known,False,known,TRAPPIST-1e,known
0003_01,Europa,False,A/0/S,58.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,0003,2,A,0.0,S,0,0,False,Susent,0,0,0,0,0,0,10383.0,0,10340.0,43.0,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,9.248021438943871,9.243871855184976,3.784189633918261,0,7.0,known,True,known,TRAPPIST-1e,known
0003_02,Europa,False,A/0/S,33.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,0003,2,A,0.0,S,0,0,False,Susent,0,0,0,0,0,0,5176.0,0,4805.0,371.0,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,8.551981016901902,8.477620416296414,5.918893854273146,0,7.0,known,False,known,TRAPPIST-1e,known
0004_01,Earth,False,F/1/S,16.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,0004,1,F,1.0,S,0,0,False,Santantines,0,0,0,0,0,0,1091.0,0,637.0,454.0,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,6.9957661563048505,6.45833828334479,6.12029741895095,0,9.0,known,False,known,TRAPPIST-1e,known
0005_01,Earth,False,F/0/P,44.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,0005,1,F,0.0,P,0,0,False,Hinetthews,0,0,0,0,0,0,774.0,0,774.0,0.0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,6.652863029353347,6.652863029353347,0.0,0,10.0,known,False,known,PSO J318.5-22,known
0006_01,Earth,False,F/2/S,26.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,0006,2,F,2.0,S,0,0,False,Jacostaffey,0,0,0,0,0,0,1584.0,0,1539.0,45.0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,7.368339686311381,7.3395376954076745,3.828641396489095,0,9.0,known,False,known,TRAPPIST-1e,known
0006_02,Earth,True,G/0/S,28.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,0006,2,G,0.0,S,0,1,False,Jacostaffey,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,known,False,known,TRAPPIST-1e,known
0007_01,Earth,False,F/3/S,35.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,0007,1,F,3.0,S,0,0,False,Beston,0,0,0,0,0,0,1018.0,0,1001.0,17.0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,6.926577033222725,6.90975328164481,2.8903717578961645,0,5.0,known,False,known,TRAPPIST-1e,known
0008_01,Europa,True,B/1/P,14.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0008,3,B,1.0,P,0,1,False,Flatic,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,known,False,known,55 Cancri e,known
0008_02,Europa,True,B/1/P,34.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,0008,3,B,1.0,P,0,1,False,Flatic,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,known,False,known,TRAPPIST-1e,known
